0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:19:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:26 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:26 +0900] "GET /BBS/css/bootsrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:27 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:47 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:47 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:21:47 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:30:32 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:30:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:30:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:30:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:34:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:34:34 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:34:34 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:34:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:43:16 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:43:16 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:43:16 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:14:43:31 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 404 808
